,ip:port,status,status_for_projects,updated_time
0,180.92.238.232:8080,alive,unknown,2020-02-22
1,73.138.75.151:8080,alive,unknown,2020-02-22
2,182.71.102.215:3128,alive,unknown,2020-02-22
3,195.170.15.66:8080,alive,unknown,2020-02-22
4,46.183.56.107:49725,alive,unknown,2020-02-22
5,167.86.92.144:3128,alive,unknown,2020-02-22
6,110.36.239.234:8080,alive,unknown,2020-02-22
7,77.252.26.71:36311,alive,unknown,2020-02-22
8,220.247.174.13:60154,alive,unknown,2020-02-22
9,202.5.56.71:8080,alive,unknown,2020-02-22
10,119.76.140.30:8080,alive,unknown,2020-02-22
11,36.90.5.97:8080,alive,unknown,2020-02-22
12,118.137.146.95:8080,alive,unknown,2020-02-22
13,46.175.185.239:37293,alive,unknown,2020-02-22
14,54.94.166.1:3128,alive,unknown,2020-02-22
15,51.158.114.177:8811,alive,unknown,2020-02-22
16,176.197.236.190:8080,alive,unknown,2020-02-22
17,103.209.65.12:8080,alive,unknown,2020-02-22
18,184.72.245.16:80,alive,unknown,2020-02-22
19,195.230.130.73:41068,alive,unknown,2020-02-22
20,160.20.166.210:8080,alive,unknown,2020-02-22
21,202.166.205.78:58431,alive,unknown,2020-02-22
22,90.183.101.238:43511,alive,unknown,2020-02-22
23,41.79.16.154:8085,alive,unknown,2020-02-22
24,31.41.108.6:8080,alive,unknown,2020-02-22
25,36.92.35.73:3128,alive,unknown,2020-02-22
26,118.99.118.100:8080,alive,unknown,2020-02-22
27,38.21.34.224:8080,alive,unknown,2020-02-22
28,144.91.71.141:8080,alive,unknown,2020-02-22
29,180.189.168.66:3129,alive,unknown,2020-02-22
30,103.76.45.142:8080,alive,unknown,2020-02-22
31,95.65.27.171:53899,alive,unknown,2020-02-22
32,36.92.146.239:8080,alive,unknown,2020-02-22
33,92.245.142.215:8080,alive,unknown,2020-02-22
34,198.50.214.17:8585,alive,unknown,2020-02-22
35,36.91.212.137:8080,alive,unknown,2020-02-22
36,178.151.34.43:8080,alive,unknown,2020-02-22
37,222.124.203.152:8080,alive,unknown,2020-02-22
38,83.228.74.251:32384,alive,unknown,2020-02-22
39,51.158.123.250:8811,alive,unknown,2020-02-22
40,41.139.223.242:47842,alive,unknown,2020-02-22
41,183.89.77.17:8080,alive,unknown,2020-02-22
42,124.122.52.2:8080,alive,unknown,2020-02-22
43,196.22.221.97:56035,alive,unknown,2020-02-22
44,202.150.151.85:3128,alive,unknown,2020-02-22
45,45.71.68.17:8080,alive,unknown,2020-02-22
46,36.73.65.200:8080,alive,unknown,2020-02-22
47,188.6.164.138:55042,alive,unknown,2020-02-22
48,176.221.109.106:41180,alive,unknown,2020-02-22
49,180.183.141.129:8080,alive,unknown,2020-02-22
50,165.22.36.112:3128,alive,unknown,2020-02-22
51,177.46.148.142:3128,alive,unknown,2020-02-22
52,163.53.185.18:8080,alive,unknown,2020-02-22
53,61.94.198.126:8080,alive,unknown,2020-02-22
54,85.132.70.195:3128,alive,unknown,2020-02-22
55,41.180.64.254:80,alive,unknown,2020-02-22
56,178.79.24.36:8080,alive,unknown,2020-02-22
57,110.78.20.62:3128,alive,unknown,2020-02-22
58,119.82.253.24:44060,alive,unknown,2020-02-22
59,165.16.34.2:8080,alive,unknown,2020-02-22
60,70.165.64.33:48678,alive,unknown,2020-02-22
61,187.188.213.4:42925,alive,unknown,2020-02-22
62,5.9.31.202:3128,alive,unknown,2020-02-22
63,213.142.206.146:53281,alive,unknown,2020-02-22
64,91.126.239.175:8080,alive,unknown,2020-02-22
65,182.253.253.6:3129,alive,unknown,2020-02-22
66,70.98.53.118:8080,alive,unknown,2020-02-22
67,202.154.190.234:8080,alive,unknown,2020-02-22
68,5.140.212.175:22129,alive,unknown,2020-02-22
69,61.19.145.66:8080,alive,unknown,2020-02-22
70,185.230.168.5:8080,alive,unknown,2020-02-22
71,77.70.115.104:8080,alive,unknown,2020-02-22
72,203.128.79.18:43227,alive,unknown,2020-02-22
73,51.38.34.40:3128,alive,unknown,2020-02-22
74,82.200.233.4:3128,alive,unknown,2020-02-22
75,113.53.83.210:39695,alive,unknown,2020-02-22
76,185.144.157.153:3128,alive,unknown,2020-02-22
77,128.199.121.141:3128,alive,unknown,2020-02-22
78,1.10.183.232:8080,alive,unknown,2020-02-22
79,118.174.232.106:50491,alive,unknown,2020-02-22
